Bank,Loan_Type,Amount,Interest_Rate,Issue_Date,Tenor_Years,Status,Is_NPA,Region,Amount_Band,Issue_Year,Issue_Month
Barclays,Personal Loan,10111.3,3.63,2021-06-18,30,Current,0,US,10-50K,2021,6
Barclays,Mortgage,495819.55,3.54,2019-07-09,20,Current,0,UK,200-500K,2019,7
Barclays,Mortgage,301696.8,4.06,2019-07-04,1,Current,0,Europe,200-500K,2019,7
Barclays,Business Loan,1245784.61,8.44,2019-04-25,2,Current,0,US,500K+,2019,4
Barclays,Credit Card,10829.66,6.04,2019-10-22,15,Current,0,UK,10-50K,2019,10
Barclays,Personal Loan,18222.6,8.71,2021-02-26,1,Current,0,Europe,10-50K,2021,2
Barclays,Mortgage,198406.93,8.36,2021-06-14,2,Current,0,Asia,50-200K,2021,6
Barclays,Credit Card,15084.73,11.56,2022-11-10,10,Current,0,Asia,10-50K,2022,11
Barclays,Business Loan,768857.47,11.35,2021-07-24,30,Current,0,UK,500K+,2021,7
Barclays,Mortgage,431024.5,6.17,2019-09-25,2,Current,0,UK,200-500K,2019,9
Barclays,Mortgage,473343.09,6.66,2019-12-28,10,Current,0,US,200-500K,2019,12
Barclays,Mortgage,450092.42,4.33,2019-11-19,25,Current,0,UK,200-500K,2019,11
Barclays,Business Loan,1959534.55,10.27,2020-01-18,2,Current,0,UK,500K+,2020,1
Barclays,Mortgage,134083.11,6.02,2021-05-25,20,Current,0,UK,50-200K,2021,5
Barclays,Mortgage,133468.96,4.32,2022-07-06,1,Current,0,US,50-200K,2022,7
Barclays,Business Loan,1266214.02,5.33,2021-05-12,5,Current,0,Europe,500K+,2021,5
Barclays,Mortgage,433963.33,7.13,2023-09-22,2,Current,0,UK,200-500K,2023,9
Barclays,Business Loan,1947179.15,5.75,2020-08-15,3,Current,0,Asia,500K+,2020,8
Barclays,Business Loan,1697349.49,4.64,2019-06-04,3,Current,0,UK,500K+,2019,6
Barclays,Mortgage,308010.29,10.36,2020-05-05,2,Current,0,US,200-500K,2020,5
Barclays,Business Loan,1540254.08,6.71,2021-10-09,3,Current,0,UK,500K+,2021,10
Barclays,Credit Card,4060.3,6.63,2023-07-17,3,Current,0,Asia,<10K,2023,7
Barclays,Personal Loan,25270.77,6.77,2022-06-25,30,Current,0,US,10-50K,2022,6
Barclays,Personal Loan,12555.51,5.24,2023-05-25,25,Current,0,UK,10-50K,2023,5
Barclays,Personal Loan,20061.05,4.88,2019-01-10,20,Current,0,Europe,10-50K,2019,1
Barclays,Credit Card,16378.36,4.16,2020-03-19,2,Current,0,US,10-50K,2020,3
Barclays,Business Loan,1487185.63,9.02,2021-08-21,1,Current,0,UK,500K+,2021,8
Barclays,Business Loan,878150.16,10.59,2023-11-22,15,Current,0,US,500K+,2023,11
Barclays,Business Loan,1779969.26,11.87,2023-07-21,15,Current,0,US,500K+,2023,7
Barclays,Business Loan,241975.01,6.96,2021-09-16,25,Current,0,Asia,200-500K,2021,9
Barclays,Business Loan,1421146.31,4.69,2019-02-24,25,Current,0,Europe,500K+,2019,2
Barclays,Mortgage,228019.63,7.79,2021-04-18,30,Current,0,Europe,200-500K,2021,4
Barclays,Mortgage,243083.46,8.17,2023-01-29,5,Current,0,US,200-500K,2023,1
Barclays,Business Loan,605283.76,5.93,2019-05-25,20,30-day DPD,0,UK,500K+,2019,5
Barclays,Personal Loan,46813.35,10.99,2019-01-18,15,Current,0,Asia,10-50K,2019,1
Barclays,Mortgage,225663.73,10.86,2019-07-25,2,Current,0,US,200-500K,2019,7
Barclays,Personal Loan,15782.62,4.04,2022-12-20,5,Current,0,Asia,10-50K,2022,12
Barclays,Business Loan,1465918.72,12.37,2023-04-02,1,Current,0,Europe,500K+,2023,4
Barclays,Mortgage,349526.69,6.46,2019-11-27,20,Current,0,US,200-500K,2019,11
Barclays,Personal Loan,41268.74,9.76,2019-03-18,15,Current,0,UK,10-50K,2019,3
Barclays,Business Loan,308402.26,11.14,2021-08-02,5,Current,0,US,200-500K,2021,8
Barclays,Mortgage,83174.29,8.6,2023-09-14,3,Current,0,US,50-200K,2023,9
