Date,Bank,Ticker,Open,High,Low,Close,Volume,Daily_Return,Volatility_30d,MA_50,MA_200,Risk_Flag
2019-01-01,Goldman Sachs,GS,199.79,200.17,195.73,200.0,19751927,-0.012231,,,,Low
2019-01-02,Goldman Sachs,GS,203.17,204.04,198.69,203.5,15643746,0.017522,,,,Low
2019-01-03,Goldman Sachs,GS,203.28,207.62,203.3,203.61,16574045,0.000499,,,,Low
2019-01-04,Goldman Sachs,GS,201.32,203.32,200.47,201.42,21722543,-0.01074,,,,Low
2019-01-07,Goldman Sachs,GS,206.74,208.62,203.97,207.18,11783280,0.028591,,,,Low
2019-01-08,Goldman Sachs,GS,208.23,209.14,206.62,209.12,18101008,0.009356,,,,Low
2019-01-09,Goldman Sachs,GS,198.11,198.48,194.53,197.14,17212147,-0.057284,,,,Low
2019-01-10,Goldman Sachs,GS,195.07,195.76,193.33,195.68,19649822,-0.007382,,,,Low
2019-01-11,Goldman Sachs,GS,191.1,193.6,190.32,191.47,18088208,-0.02152,,,,Low
2019-01-14,Goldman Sachs,GS,189.52,190.01,187.43,189.11,13494071,-0.012318,,,,Low
2019-01-15,Goldman Sachs,GS,189.03,188.8,186.45,188.73,15104961,-0.002002,,,,Low
2019-01-16,Goldman Sachs,GS,188.99,192.19,189.16,189.84,15815004,0.005854,,,,Low
2019-01-17,Goldman Sachs,GS,191.39,191.45,189.67,190.67,19326429,0.004394,,,,Low
2019-01-18,Goldman Sachs,GS,194.48,195.46,193.27,193.96,6534186,0.017253,,,,Low
2019-01-21,Goldman Sachs,GS,196.14,198.24,193.6,195.96,8776789,0.010303,,,,Low
2019-01-22,Goldman Sachs,GS,197.36,199.5,195.89,197.79,8112037,0.009329,,,,Low
2019-01-23,Goldman Sachs,GS,198.07,201.93,197.66,198.47,14458450,0.003451,,,,Low
2019-01-24,Goldman Sachs,GS,202.34,205.75,201.51,202.55,24094338,0.020543,,,,Low
2019-01-25,Goldman Sachs,GS,200.35,202.3,199.37,201.6,13238311,-0.004703,,,,Low
2019-01-28,Goldman Sachs,GS,200.69,201.94,200.45,200.73,24048277,-0.004294,,,,Low
2019-01-29,Goldman Sachs,GS,195.63,195.31,194.49,194.76,20348076,-0.029732,,,,Low
2019-01-30,Goldman Sachs,GS,198.92,199.01,196.8,198.06,11697427,0.016911,,,,Low
2019-01-31,Goldman Sachs,GS,197.49,198.75,196.8,197.87,6091184,-0.000934,,,,Low
2019-02-01,Goldman Sachs,GS,208.17,208.2,205.39,207.07,21942980,0.046478,,,,Low
2019-02-04,Goldman Sachs,GS,207.76,208.04,203.42,205.8,20183575,-0.006109,,,,Low
2019-02-05,Goldman Sachs,GS,205.82,207.17,204.23,206.15,12387961,0.001673,,,,Low
2019-02-06,Goldman Sachs,GS,208.7,208.9,206.16,207.98,12726353,0.008884,,,,Low
2019-02-07,Goldman Sachs,GS,202.11,204.89,203.53,204.43,16986247,-0.017076,,,,Low
2019-02-08,Goldman Sachs,GS,204.34,206.37,205.37,205.64,8910492,0.005924,,,,Low
2019-02-11,Goldman Sachs,GS,205.9,206.54,205.44,205.81,11372245,0.000824,0.2979051385248389,,,Medium
2019-02-12,Goldman Sachs,GS,203.85,206.24,204.56,204.88,6893569,-0.004505,0.29582177317222386,,,Medium
2019-02-13,Goldman Sachs,GS,210.85,208.73,207.59,208.72,10587215,0.018745,0.29643689529036893,,,Medium
2019-02-14,Goldman Sachs,GS,206.42,206.66,205.16,205.81,14553195,-0.013955,0.29959815542567847,,,Medium
2019-02-15,Goldman Sachs,GS,207.75,207.27,205.46,206.76,5368199,0.004607,0.29787757235352186,,,Medium
2019-02-18,Goldman Sachs,GS,211.52,212.41,210.76,211.55,14976589,0.023187,0.2939203256848758,,,Medium
2019-02-19,Goldman Sachs,GS,208.21,210.53,207.14,209.25,15502474,-0.01085,0.2946801910767345,,,Medium
2019-02-20,Goldman Sachs,GS,207.79,210.97,207.88,208.33,16455973,-0.004398,0.23980223395514041,,,Medium
2019-02-21,Goldman Sachs,GS,216.36,216.68,215.11,216.09,6256847,0.037213,0.2587964598399078,,,Medium
2019-02-22,Goldman Sachs,GS,217.07,217.97,215.83,217.76,8906956,0.007749,0.24794260098170393,,,Medium
2019-02-25,Goldman Sachs,GS,216.81,218.37,215.59,216.09,7033443,-0.007694,0.24558186305771157,,,Medium
2019-02-26,Goldman Sachs,GS,219.66,219.22,218.56,218.88,11782051,0.012918,0.2459196809013478,,,Medium
2019-02-27,Goldman Sachs,GS,216.99,217.9,216.55,216.98,10498960,-0.008669,0.24909714941934083,,,Medium
2019-02-28,Goldman Sachs,GS,209.76,212.98,209.9,211.69,10857037,-0.024367,0.2628534127776978,,,Medium
2019-03-01,Goldman Sachs,GS,218.18,219.03,214.06,216.33,5531472,0.02189,0.26527514216053055,,,Medium
2019-03-04,Goldman Sachs,GS,212.4,213.51,212.06,212.63,9239200,-0.017094,0.27123630283939915,,,Medium
2019-03-05,Goldman Sachs,GS,223.89,221.39,219.98,220.9,9212861,0.038889,0.29022376373825776,,,Medium
2019-03-06,Goldman Sachs,GS,219.97,220.04,219.09,219.26,6103615,-0.007428,0.292060733023258,,,Medium
2019-03-07,Goldman Sachs,GS,226.45,227.88,225.29,226.68,12809237,0.033874,0.3012370270160395,,,High
2019-03-08,Goldman Sachs,GS,222.36,223.58,221.0,221.86,5871552,-0.021277,0.3090929503176273,,,High
2019-03-11,Goldman Sachs,GS,223.23,227.22,225.41,225.51,9077067,0.016428,0.3104544184705982,205.76,,High
2019-03-12,Goldman Sachs,GS,228.51,229.3,223.43,227.34,14294793,0.008148,0.29356790502637115,206.31,,Medium
2019-03-13,Goldman Sachs,GS,233.36,231.74,229.4,230.41,15988600,0.013471,0.29255652513056174,206.85,,Medium
2019-03-14,Goldman Sachs,GS,231.54,235.2,231.26,233.98,8150421,0.015523,0.29343605358674923,207.45,,Medium
2019-03-15,Goldman Sachs,GS,231.88,234.28,229.7,232.21,23476370,-0.007561,0.2690727164954896,208.07,,Medium
2019-03-18,Goldman Sachs,GS,227.37,228.47,226.01,227.49,10406557,-0.020335,0.2767506146067001,208.48,,Medium
2019-03-19,Goldman Sachs,GS,228.37,229.28,224.76,227.37,9310856,-0.000524,0.2769492256093911,208.84,,Medium
2019-03-20,Goldman Sachs,GS,230.64,232.67,224.75,228.23,15960836,0.00379,0.27646869737485974,209.46,,Medium
2019-03-21,Goldman Sachs,GS,227.03,226.89,226.35,226.6,24851168,-0.007153,0.2715824752718015,210.08,,Medium
2019-03-22,Goldman Sachs,GS,230.09,228.12,226.35,227.65,19664367,0.004649,0.2715119410988059,210.8,,Medium
2019-03-25,Goldman Sachs,GS,229.09,229.11,228.44,228.9,10463172,0.005469,0.2714424452114018,211.6,,Medium
2019-03-26,Goldman Sachs,GS,226.19,230.86,225.0,225.68,6421143,-0.014054,0.2753310088088706,212.34,,Medium
2019-03-27,Goldman Sachs,GS,227.52,227.84,226.9,227.15,11461703,0.006498,0.2716527836288386,213.09,,Medium
2019-03-28,Goldman Sachs,GS,227.64,226.52,224.28,226.26,15522770,-0.00393,0.2677527669141687,213.8,,Medium
2019-03-29,Goldman Sachs,GS,223.35,224.59,219.58,223.83,12318963,-0.010746,0.2707813352097708,214.39,,Medium
2019-04-01,Goldman Sachs,GS,227.59,227.46,225.75,226.66,6070919,0.012678,0.2655643371934179,215.01,,Medium
2019-04-02,Goldman Sachs,GS,222.57,225.62,223.17,223.95,16606070,-0.011959,0.2660654718641442,215.53,,Medium
2019-04-03,Goldman Sachs,GS,222.09,223.05,221.25,222.4,18221843,-0.006914,0.26672318655440885,216.01,,Medium
2019-04-04,Goldman Sachs,GS,222.01,223.28,218.66,222.72,15447708,0.001412,0.24534644748807907,216.41,,Medium
2019-04-05,Goldman Sachs,GS,227.7,228.74,225.92,227.6,20166696,0.021921,0.25201991419073116,216.93,,Medium
2019-04-08,Goldman Sachs,GS,227.99,231.21,225.71,228.35,24961792,0.003314,0.2505090914759865,217.49,,Medium
2019-04-09,Goldman Sachs,GS,231.62,231.24,228.31,230.32,12976494,0.008598,0.24917666465074334,218.2,,Medium
2019-04-10,Goldman Sachs,GS,228.29,229.82,228.19,229.3,22696619,-0.00441,0.2479216492985165,218.82,,Medium
2019-04-11,Goldman Sachs,GS,227.1,229.9,228.14,229.08,24610402,-0.000958,0.23528177495223873,219.45,,Medium
2019-04-12,Goldman Sachs,GS,227.42,229.5,227.02,228.97,20748997,-0.000492,0.22829061514690385,219.88,,Medium
2019-04-15,Goldman Sachs,GS,231.23,230.52,229.92,230.09,13153992,0.004897,0.22109630848291534,220.37,,Medium
2019-04-16,Goldman Sachs,GS,227.97,229.87,227.77,229.08,14487061,-0.004383,0.19343554930577686,220.83,,Medium
2019-04-17,Goldman Sachs,GS,234.45,235.81,232.12,233.98,9951471,0.021381,0.2000664891626334,221.35,,Medium
2019-04-18,Goldman Sachs,GS,232.33,233.03,232.11,232.67,13433095,-0.005599,0.17724836193381516,221.91,,Medium
2019-04-19,Goldman Sachs,GS,227.41,227.64,225.44,226.48,6949175,-0.026609,0.18361259399221982,222.33,,Medium
2019-04-22,Goldman Sachs,GS,236.05,239.23,234.72,236.32,19294879,0.043473,0.2173151120658822,222.94,,Medium
2019-04-23,Goldman Sachs,GS,238.42,235.48,235.16,235.17,5681113,-0.004878,0.21721147029562285,223.55,,Medium
2019-04-24,Goldman Sachs,GS,242.38,243.05,240.06,240.1,23951505,0.020958,0.22191418905837118,224.17,,Medium
2019-04-25,Goldman Sachs,GS,245.09,248.34,242.61,245.48,19952883,0.022401,0.22654642868543343,224.97,,Medium
2019-04-26,Goldman Sachs,GS,248.64,249.44,249.06,249.2,8578251,0.015164,0.2280450491250994,225.82,,Medium
2019-04-29,Goldman Sachs,GS,252.39,250.08,247.85,248.49,8371791,-0.002841,0.21828023850406875,226.56,,Medium
2019-04-30,Goldman Sachs,GS,248.34,254.28,247.02,249.68,15574780,0.004793,0.2180700464333612,227.36,,Medium
2019-05-01,Goldman Sachs,GS,244.67,245.71,243.27,244.74,24483907,-0.019794,0.22801592821385883,228.09,,Medium
2019-05-02,Goldman Sachs,GS,252.51,253.76,247.88,252.48,17282673,0.03162,0.24116839561026157,228.82,,Medium
2019-05-03,Goldman Sachs,GS,249.16,251.49,248.05,249.16,9198530,-0.013137,0.2460343722418224,229.45,,Medium
2019-05-06,Goldman Sachs,GS,246.08,250.5,245.22,248.24,20096071,-0.003721,0.24671567525954338,230.09,,Medium
2019-05-07,Goldman Sachs,GS,249.31,250.42,247.01,248.69,11129570,0.001837,0.24151374782098425,230.69,,Medium
2019-05-08,Goldman Sachs,GS,247.14,249.08,245.52,248.34,15836801,-0.001414,0.24170685002651038,231.31,,Medium
2019-05-09,Goldman Sachs,GS,247.61,249.48,243.4,245.84,17316852,-0.010067,0.24389990660175512,232.0,,Medium
2019-05-10,Goldman Sachs,GS,249.48,253.09,251.27,251.31,5712864,0.022237,0.24660136554970524,232.7,,Medium
2019-05-13,Goldman Sachs,GS,255.21,257.5,254.83,255.14,15487388,0.015243,0.24749763098778454,233.55,,Medium
2019-05-14,Goldman Sachs,GS,253.66,258.24,254.11,256.5,16899022,0.00535,0.24279658371044294,234.26,,Medium
2019-05-15,Goldman Sachs,GS,252.21,258.24,252.27,254.96,13990307,-0.006015,0.24243835395469532,234.97,,Medium
2019-05-16,Goldman Sachs,GS,258.22,260.56,257.26,259.3,17868036,0.017039,0.2448289084631454,235.63,,Medium
2019-05-17,Goldman Sachs,GS,256.58,260.93,255.74,257.48,17536258,-0.007037,0.24200914167059473,236.34,,Medium
2019-05-20,Goldman Sachs,GS,265.85,264.04,261.06,263.92,8311563,0.025009,0.24935131285978143,237.11,,Medium
2019-05-21,Goldman Sachs,GS,264.4,264.89,264.35,264.46,20083581,0.002029,0.2492441193397239,237.85,,Medium
2019-05-22,Goldman Sachs,GS,271.39,270.32,267.56,269.65,14110099,0.019645,0.25131597188452254,238.63,,Medium
2019-05-23,Goldman Sachs,GS,268.73,270.39,265.26,269.24,8429670,-0.001515,0.2514462248350119,239.34,,Medium
2019-05-24,Goldman Sachs,GS,270.44,269.64,269.04,269.62,14892203,0.001404,0.251112179209433,240.09,,Medium
2019-05-27,Goldman Sachs,GS,273.9,279.21,274.51,274.9,17281902,0.019576,0.25434713304971013,241.03,,Medium
2019-05-28,Goldman Sachs,GS,283.34,285.69,284.32,284.47,7106741,0.034829,0.26548737531667677,242.18,,Medium
2019-05-29,Goldman Sachs,GS,288.89,291.77,289.81,291.54,7853685,0.024851,0.2672622599870127,243.44,,Medium
2019-05-30,Goldman Sachs,GS,296.15,297.79,293.84,295.65,24772051,0.014091,0.2649626970723395,244.82,,Medium
2019-05-31,Goldman Sachs,GS,298.87,302.22,297.42,298.48,9826248,0.009558,0.24360705239256344,246.24,,Medium
2019-06-03,Goldman Sachs,GS,297.33,299.83,295.79,296.18,14747550,-0.007706,0.2258342502092463,247.59,,Medium
2019-06-04,Goldman Sachs,GS,297.96,300.57,296.86,297.64,10249261,0.004927,0.2228761849465552,249.03,,Medium
2019-06-05,Goldman Sachs,GS,296.41,295.1,289.94,293.44,23965275,-0.014101,0.22823070977095034,250.35,,Medium
2019-06-06,Goldman Sachs,GS,295.52,296.85,295.04,295.26,16328807,0.006196,0.2233915200582401,251.73,,Medium
2019-06-07,Goldman Sachs,GS,298.86,303.37,294.93,297.38,10928828,0.007208,0.22182306441579477,253.2,,Medium
2019-06-10,Goldman Sachs,GS,287.82,290.05,285.7,288.28,10311333,-0.030603,0.24484025200782494,254.43,,Medium
2019-06-11,Goldman Sachs,GS,287.23,289.39,288.5,288.54,10269995,0.000888,0.24514111157569138,255.73,,Medium
2019-06-12,Goldman Sachs,GS,291.55,291.38,286.2,290.51,9526349,0.006811,0.23366639235238634,257.09,,Medium
2019-06-13,Goldman Sachs,GS,290.07,292.81,287.17,290.2,23114512,-0.001041,0.2211877902538148,258.44,,Medium
2019-06-14,Goldman Sachs,GS,293.13,293.9,290.03,291.92,21890722,0.005917,0.21459712574303616,259.72,,Medium
2019-06-17,Goldman Sachs,GS,286.34,286.24,285.13,285.83,18628739,-0.020852,0.22633366330460614,260.87,,Medium
2019-06-18,Goldman Sachs,GS,281.3,282.5,278.3,282.42,7444334,-0.011941,0.23137279452460308,261.92,,Medium
2019-06-19,Goldman Sachs,GS,288.64,287.22,286.11,287.1,24815005,0.016577,0.2333449072312753,263.07,,Medium
2019-06-20,Goldman Sachs,GS,285.93,288.75,285.96,287.18,13856505,0.000287,0.2294517130831972,264.23,,Medium
2019-06-21,Goldman Sachs,GS,289.7,290.78,286.31,288.8,18542962,0.00563,0.2237746218270703,265.43,,Medium
2019-06-24,Goldman Sachs,GS,288.23,287.37,285.51,286.39,20812301,-0.008329,0.22458957085118017,266.56,,Medium
2019-06-25,Goldman Sachs,GS,286.01,288.67,284.88,286.56,12801242,0.000585,0.22475712278172028,267.71,,Medium
2019-06-26,Goldman Sachs,GS,277.85,279.21,273.9,276.25,17253308,-0.035976,0.2513272086378838,268.55,,Medium
2019-06-27,Goldman Sachs,GS,280.57,281.2,278.52,280.01,11808944,0.013601,0.24982750774459545,269.5,,Medium
