Date,Bank,Ticker,Open,High,Low,Close,Volume,Daily_Return,Volatility_30d,MA_50,MA_200,Risk_Flag
2019-01-01,JPMorgan Chase,JPM,103.43,104.1,102.78,104.0,18994583,-0.015415,,,,Low
2019-01-02,JPMorgan Chase,JPM,103.85,103.49,102.78,103.22,14123309,-0.007492,,,,Low
2019-01-03,JPMorgan Chase,JPM,103.11,103.75,103.41,103.72,24195996,0.004865,,,,Low
2019-01-04,JPMorgan Chase,JPM,104.76,105.96,105.08,105.23,8005503,0.014495,,,,Low
2019-01-07,JPMorgan Chase,JPM,107.31,107.03,104.93,106.5,8723691,0.012095,,,,Low
2019-01-08,JPMorgan Chase,JPM,105.0,105.91,103.74,105.14,6405565,-0.012784,,,,Low
2019-01-09,JPMorgan Chase,JPM,107.55,107.88,106.59,107.33,17319087,0.020824,,,,Low
2019-01-10,JPMorgan Chase,JPM,108.24,108.6,107.71,107.99,22387237,0.006164,,,,Low
2019-01-11,JPMorgan Chase,JPM,106.13,106.91,106.5,106.91,5862416,-0.010006,,,,Low
2019-01-14,JPMorgan Chase,JPM,106.38,107.18,104.84,105.95,24917811,-0.008945,,,,Low
2019-01-15,JPMorgan Chase,JPM,106.41,106.17,104.46,106.08,6638127,0.001219,,,,Low
2019-01-16,JPMorgan Chase,JPM,109.35,109.27,108.98,108.99,6504316,0.027434,,,,Low
2019-01-17,JPMorgan Chase,JPM,108.95,109.38,108.62,109.32,5671755,0.002994,,,,Low
2019-01-18,JPMorgan Chase,JPM,112.47,112.68,111.87,112.3,8207816,0.027319,,,,Low
2019-01-21,JPMorgan Chase,JPM,113.48,115.45,113.53,113.58,23566217,0.01138,,,,Low
2019-01-22,JPMorgan Chase,JPM,111.86,112.26,110.75,111.81,24153770,-0.015586,,,,Low
2019-01-23,JPMorgan Chase,JPM,113.39,114.2,113.76,113.83,10466497,0.01805,,,,Low
2019-01-24,JPMorgan Chase,JPM,112.41,113.6,111.52,112.51,24645299,-0.011578,,,,Low
2019-01-25,JPMorgan Chase,JPM,112.22,111.79,110.77,111.68,23813482,-0.007432,,,,Low
2019-01-28,JPMorgan Chase,JPM,111.02,112.51,112.01,112.1,17332945,0.003792,,,,Low
2019-01-29,JPMorgan Chase,JPM,111.89,112.63,111.62,112.09,20611315,-4.1e-05,,,,Low
2019-01-30,JPMorgan Chase,JPM,113.75,114.06,111.78,113.39,14647974,0.011573,,,,Low
2019-01-31,JPMorgan Chase,JPM,113.52,115.25,113.61,114.14,18051435,0.006639,,,,Low
2019-02-01,JPMorgan Chase,JPM,114.24,114.17,112.65,114.01,5536251,-0.001168,,,,Low
2019-02-04,JPMorgan Chase,JPM,116.76,117.4,116.38,116.49,14855328,0.021722,,,,Low
2019-02-05,JPMorgan Chase,JPM,115.74,116.85,115.34,115.83,10061121,-0.005661,,,,Low
2019-02-06,JPMorgan Chase,JPM,114.58,115.01,114.19,114.41,6926626,-0.012282,,,,Low
2019-02-07,JPMorgan Chase,JPM,116.05,115.69,114.76,115.11,16210143,0.006154,,,,Low
2019-02-08,JPMorgan Chase,JPM,114.73,116.23,113.65,115.12,5256803,8.8e-05,,,,Low
2019-02-11,JPMorgan Chase,JPM,114.71,116.72,113.44,115.51,18199341,0.003409,0.1978087129981544,,,Medium
2019-02-12,JPMorgan Chase,JPM,116.38,117.47,116.33,116.62,15233654,0.009617,0.19066728846890008,,,Medium
2019-02-13,JPMorgan Chase,JPM,115.81,116.49,115.44,116.39,14805169,-0.002014,0.18847274177611706,,,Medium
2019-02-14,JPMorgan Chase,JPM,119.38,119.53,118.56,119.15,22567086,0.023734,0.19690309327652034,,,Medium
2019-02-15,JPMorgan Chase,JPM,119.31,119.75,118.4,119.59,23385231,0.003656,0.1947148006582076,,,Medium
2019-02-18,JPMorgan Chase,JPM,119.31,119.02,118.35,118.95,19585127,-0.005357,0.19524809563445877,,,Medium
